Federal Provider Number,Provider Zip Code,Ownership Type,Date First Approved to Provide Medicare and Medicaid services,Overall Rating,Reported RN Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total Amount of Fines in Dollars,Facility age,Government,Non profit,For profit,Young (<33% Percentile),Medium (33%-66% Percentile),Old (>66% Percentile),4- or 5-Star Overall Rating,3-Star Overall Rating,1- or 2-Star Overall Rating,0.75 RN staffing hours per resident day or higher,Under 0.75 RN staffing hours per resident day ,4.1 nurse staffing hours per resident day or higher,Under 4.1 nurse staffing hours per resident day,No fine,Small fine (1-<Median),Large fine (>=Median),No federal deficiencies,Federal deficiencies,Serious federal deficiencies
366010,44278,For profit - Corporation,06/07/1995,3,0.45873,3.24868,0,25,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,16,1
525608,53406,For profit - Corporation,01/01/1997,3,0.83152,3.79122,0,24,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,38,2
395726,15666,For profit - Corporation,02/26/1987,1,0.44368,2.4748,0,33,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,52,1
415078,02816,For profit - Corporation,02/08/1983,5,0.98342,3.91249,53567,37,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,6,0
345089,27052,For profit - Corporation,05/01/1974,2,0.43619,3.10367,13627,46,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,16,2
335821,11787,Non profit - Corporation,03/01/2000,5,0.83971,4.1293,0,20,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,7,0
415096,02906,Non profit - Corporation,05/21/1991,5,1.00273,3.91309,0,29,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0
365746,44067,For profit - Individual,08/04/1989,2,0.5601,3.76167,10000,31,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,30,1
315469,07753,Non profit - Corporation,08/08/2001,3,0.99523,4.78702,7036,19,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,10,0
676105,79416,Government - Hospital district,07/05/2006,1,0.18168,3.01079,13905,14,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,27,1
445146,37064,For profit - Limited Liability company,08/10/1981,1,0.34915,3.08271,13905,39,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,10,3
435072,57747,Non profit - Corporation,08/01/1993,5,0.57413,3.96272,0,27,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,13,0
395851,15601,For profit - Partnership,04/29/1991,1,0.83558,3.87722,0,29,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,87,0
345465,28560,For profit - Corporation,10/11/1994,5,0.64657,3.99088,0,26,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,6,0
495354,22150,Non profit - Corporation,08/30/2001,4,0.96074,5.13746,15000,19,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,19,0
335613,12572,Non profit - Corporation,12/01/1977,5,0.5539,3.53755,0,43,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,7,0
345260,27804,For profit - Corporation,07/01/1987,1,0.28737,3.35245,23659,33,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,16,2
365163,43545,For profit - Corporation,06/01/1978,3,0.618,3.22847,0,42,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,19,0
675150,75119,For profit - Corporation,05/06/1993,2,0.22402,2.78701,0,27,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,15,0
495403,23238,Non profit - Church related,04/20/2010,5,0.54399,4.77667,0,10,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,12,0
015075,35622,For profit - Corporation,04/19/1967,4,0.44224,3.6652,0,53,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,6,0
395826,15237,Non profit - Corporation,04/11/1990,4,1.08828,3.2989,80600,30,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,16,2
676173,78119,For profit - Individual,03/01/2008,3,0.32464,3.28615,0,12,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,15,0
495280,22192,Non profit - Corporation,07/09/1993,3,0.91581,5.21632,13627,27,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,28,1
555306,90247,For profit - Corporation,03/17/1988,3,0.36894,4.12808,18674,32,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,46,4
315234,07470,For profit - Corporation,09/01/1986,4,0.64665,2.91491,0,34,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,9,0
395740,19382,For profit - Partnership,07/31/1987,1,0.73295,3.32802,143598,33,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,35,4
465100,84107,For profit - Corporation,08/01/1985,4,0.65039,3.43209,0,35,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,37,1
555337,95610,Non profit - Other,01/01/1989,4,1.40435,4.26041,0,32,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,29,1
505257,99202,For profit - Corporation,09/01/1981,4,0.91663,3.82236,69038,39,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,86,4
675471,75418,Non profit - Corporation,03/30/1995,4,0.57187,2.73937,7157,25,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,10,1
365981,45405,For profit - Corporation,12/09/1994,3,0.6519,3.0491,0,26,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,18,0
396109,18702,Non profit - Corporation,05/11/2007,5,1.60831,4.99966,0,13,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,11,0
525715,54868,For profit - Corporation,10/01/2014,5,1.16865,4.83244,0,6,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,4,0
335187,10463,For profit - Individual,06/20/1979,3,0.35042,3.08448,0,41,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,7,0
525377,54235,Non profit - Corporation,10/01/1984,5,2.30404,4.76227,0,36,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,5,0
335787,11550,For profit - Corporation,08/10/1995,2,0.36512,3.44018,11513,25,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,16,1
675976,75835,For profit - Corporation,07/11/2003,3,0.44798,3.43489,73783,17,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,14,4
295021,89169,For profit - Partnership,12/01/1973,2,0.44744,3.56884,0,47,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,50,0
465049,84117,For profit - Corporation,04/22/1974,3,0.88716,3.01248,0,46,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,22,0
366170,43017,Non profit - Corporation,10/09/1998,3,0.47704,4.33072,0,22,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,24,0
335656,11214,For profit - Partnership,06/02/1982,3,0.65568,4.14204,6893,38,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,9,2
455412,75010,For profit - Corporation,07/01/1973,3,0.29925,3.19178,0,47,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,17,0
555822,91303,For profit - Corporation,04/15/2005,4,0.63666,4.75303,10000,15,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,51,1
555244,95301,For profit - Partnership,11/11/1986,1,0.12978,3.73766,0,34,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,11,4
015124,36251,Non profit - Other,12/01/1974,5,0.59001,3.55848,0,46,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,10,0
366348,45140,For profit - Corporation,07/26/2007,4,0.26248,3.36609,0,13,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,10,0
345392,28170,For profit - Corporation,07/12/1991,3,0.3939,3.10775,0,29,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,24,0
335421,10591,For profit - Limited Liability company,10/01/1974,4,0.76493,3.81398,0,46,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,7,0
335396,12549,For profit - Corporation,11/01/1973,4,0.52404,3.2726,0,47,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,12,0
365532,45331,For profit - Corporation,07/01/1980,4,0.51155,2.93015,0,40,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,12,1
365555,44438,For profit - Corporation,05/22/1981,5,0.48376,3.47727,0,39,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0
445167,38555,For profit - Corporation,08/08/1984,1,0.26289,3.47587,0,36,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,8,2
375194,74604,For profit - Corporation,01/16/1995,1,0.32978,3.14735,0,26,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,34,0
396119,17545,Non profit - Corporation,07/01/2008,5,0.81242,4.03735,0,12,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,6,0
435075,57349,Non profit - Corporation,03/01/1994,3,0.7491,3.3846,0,26,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,10,0
385149,97526,For profit - Corporation,08/21/1981,2,0.60575,4.10974,10056,39,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,40,2
315396,08302,For profit - Corporation,12/01/1997,4,0.307,2.35885,0,23,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,5,0
395915,17020,Non profit - Corporation,12/08/1993,3,0.48841,3.47254,0,27,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,20,0
525270,54935,For profit - Limited Liability company,05/01/1976,2,0.4567,3.2491,0,44,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,27,0
435093,57219,Non profit - Corporation,01/01/1996,5,0.81024,3.77119,0,25,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,10,0
365597,45601,For profit - Individual,05/06/1983,1,0.35146,3.44899,41860,37,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,50,1
275047,59047,For profit - Corporation,08/01/1974,3,1.06034,3.0191,53346,46,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,25,1
365589,45780,For profit - Corporation,10/07/1982,4,0.35727,3.41437,0,38,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,15,0
365228,45177,For profit - Corporation,04/22/1974,3,0.54295,2.95139,0,46,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,31,0
44E232,37367,Government - County,05/31/1978,3,0.38059,2.75545,0,42,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,14,0
505325,98110,For profit - Corporation,12/01/1988,5,1.13183,3.44294,117180,32,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,34,2
365284,44875,For profit - Individual,05/09/1972,3,0.50456,3.31335,0,48,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,32,3
335767,12084,Non profit - Corporation,07/01/1993,4,0.79231,4.28471,0,27,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,11,0
455618,78130,Non profit - Corporation,01/10/1986,1,0.45577,4.4347,86689,35,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,45,6
355095,58474,Non profit - Corporation,01/14/1991,3,0.6215,3.67239,0,30,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,25,1
465143,84721,For profit - Individual,09/18/1996,4,0.54527,3.57593,0,24,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,24,1
555583,91342,For profit - Individual,12/01/1993,1,0.34071,4.39035,0,27,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,59,6
676332,77505,For profit - Individual,03/20/2013,2,0.40525,3.97666,11132,7,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,23,2
525343,54166,For profit - Corporation,12/01/1983,3,0.51024,3.21746,0,37,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,17,0
345159,28092,For profit - Corporation,10/11/1976,4,0.47691,3.27135,0,44,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,14,0
555020,94116,Government - City/county,07/09/1976,2,1.25853,4.91992,740295,44,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,55,8
366211,45833,For profit - Corporation,02/26/2001,5,0.72616,4.2542,0,19,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
365071,44122,For profit - Corporation,01/01/1967,2,0.21214,3.53266,25775,54,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,7,2
495140,22611,For profit - Partnership,08/01/1984,1,0.29211,2.21427,0,36,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,81,2
425095,29340,For profit - Limited Liability company,03/19/1973,2,0.30317,3.86594,0,47,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,16,1
495236,23063,For profit - Corporation,04/12/1991,1,0.43438,2.91756,0,29,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,55,0
675462,79720,For profit - Partnership,03/06/1995,4,0.25705,3.59893,0,25,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,8,0
395435,15601,Government - County,01/01/1986,1,0.68505,3.56665,70090,35,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,70,2
676193,75703,For profit - Corporation,09/03/2008,1,0.45675,3.59808,21590,12,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,20,9
396067,15101,Non profit - Corporation,10/25/1999,4,0.73007,4.01767,0,21,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,16,0
345321,27536,For profit - Corporation,07/13/1990,4,0.60788,3.56046,0,30,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,7,0
385244,97147,Government - City,05/01/1994,4,0.8587,4.33186,0,26,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,26,0
355051,58240,Non profit - Corporation,06/01/1978,5,0.59633,3.79418,0,42,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,7,0
365482,44662,For profit - Corporation,05/29/1980,5,0.80026,3.17317,0,40,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,9,1
555613,92501,For profit - Corporation,07/30/1994,3,0.40157,3.67848,0,26,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,38,2
395802,17013,Non profit - Corporation,09/01/1989,5,0.84108,3.99598,0,31,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,9,0
415054,02892,For profit - Corporation,01/01/1978,3,0.79127,3.1113,7803,43,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,3,1
305085,03431,For profit - Corporation,02/12/1997,5,0.99986,4.68981,0,23,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,4,0
395623,17821,For profit - Corporation,01/01/1984,3,0.4132,3.7569,7036,37,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,28,1
345011,27292,For profit - Corporation,02/01/1976,1,0.46659,3.18189,8778,44,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,33,1
555878,92021,For profit - Corporation,02/21/2013,3,0.3125,3.69822,0,7,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,40,0
28A065,68039,Non profit - Corporation,10/02/1990,3,0.92348,4.67845,0,30,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,17,2
395440,17011,Non profit - Other,04/01/1979,1,0.6947,3.45046,0,41,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,48,1
445435,37190,Non profit - Corporation,01/01/2002,5,0.80776,4.11116,0,19,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,9,0
345273,27406,For profit - Corporation,02/19/1988,5,1.32889,6.64925,0,32,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0
525424,53045,For profit - Corporation,05/01/1989,1,0.49932,4.0477,150976,31,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,49,6
555796,91770,For profit - Corporation,09/30/2002,5,0.56603,4.10347,0,18,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,18,1
38E157,97232,For profit - Corporation,03/01/1975,2,1.0238,4.98721,0,45,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,64,6
375417,74074,For profit - Corporation,08/16/2002,3,0.44841,3.45186,0,18,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,24,0
365695,44230,For profit - Corporation,05/18/1987,4,0.53407,3.26441,0,33,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,15,0
366331,43953,For profit - Corporation,10/10/2006,2,0.42399,3.22633,0,14,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,45,4
335481,14108,For profit - Limited Liability company,03/01/1976,2,0.5165,3.32851,0,44,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,24,0
676441,78516,For profit - Corporation,04/05/2018,3,0.25231,3.19149,0,2,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,6,0
315514,08234,For profit - Corporation,09/03/2013,5,0.49962,3.5257,0,7,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,3,0
495221,24457,Non profit - Corporation,10/26/1990,5,0.59099,3.83895,0,30,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,2,0
555114,90503,For profit - Individual,03/14/1979,2,0.37101,3.8738,0,41,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,60,2
415072,02907,For profit - Individual,08/01/1979,5,0.76241,3.14661,0,41,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0
325104,87701,Government - State,09/29/1995,3,0.69138,3.86539,50585,25,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,32,5
366384,45322,For profit - Corporation,02/25/2010,2,0.6814,3.83116,27619,10,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,10,1
425138,29651,For profit - Corporation,12/11/1980,2,0.41009,3.20331,6632,40,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,25,2
395101,18840,For profit - Corporation,01/01/1967,1,0.76768,3.83909,0,54,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,42,1
285291,68601,Non profit - Corporation,09/18/2014,4,0.69211,4.74981,0,6,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,7,1
315233,08360,For profit - Partnership,08/20/1986,2,0.45841,4.00516,11768,34,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,16,1
395878,17961,For profit - Partnership,08/27/1992,5,0.5153,3.26859,0,28,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,9,0
335202,14020,For profit - Corporation,07/01/1970,3,0.62504,3.60892,0,50,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,14,0
285186,68047,Government - Hospital district,05/01/1996,3,0.85586,3.31011,10400,24,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,22,1
676428,79936,For profit - Corporation,10/19/2017,1,0.4565,3.85294,7803,3,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,23,3
675733,78704,For profit - Corporation,09/15/1997,2,0.25451,3.11704,0,23,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,18,0
495317,23936,For profit - Corporation,12/04/1996,2,0.25803,3.03216,0,24,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,20,0
555116,93309,Non profit - Corporation,07/09/1979,4,0.61948,4.46791,0,41,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,33,0
365759,44138,Non profit - Corporation,10/04/1989,5,0.54763,3.69997,0,31,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,6,0
385240,97385,For profit - Individual,02/07/1994,3,0.59894,5.14899,36075,26,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,28,5
345492,28301,Government - State,05/11/1999,5,0.53917,4.18181,2013,21,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,11,0
325073,87801,Non profit - Corporation,07/01/1992,2,0.57957,2.92661,20800,28,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,36,3
345412,27565,Government - County,01/31/1992,1,0.59039,3.71119,157467,28,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,16,4
395330,19126,For profit - Corporation,05/23/1975,1,0.30078,3.15262,0,45,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,38,3
675205,78229,For profit - Partnership,10/27/1993,2,0.65964,3.7147,0,27,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,31,0
455485,75701,Government - Hospital district,04/18/1984,1,0.24678,3.29949,46950,36,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,25,0
675809,75146,For profit - Corporation,10/08/1999,1,0.29272,3.27463,0,21,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,22,0
335582,11691,For profit - Corporation,01/01/1977,3,0.7027,2.61859,0,44,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,10,0
395712,16901,For profit - Corporation,03/01/1986,4,1.80195,3.40455,0,34,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,32,0
395671,15301,Non profit - Corporation,06/01/1984,5,0.72077,3.92194,0,36,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,15,0
555376,94526,For profit - Corporation,05/01/1989,5,0.91915,4.12741,0,31,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,11,0
505442,98118,Non profit - Corporation,01/01/1992,5,0.95388,5.48684,0,29,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,24,0
505498,99203,For profit - Partnership,08/26/1996,5,1.3182,4.46014,11050,24,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,23,1
365956,44074,Non profit - Corporation,01/30/1994,5,7.10403,11.41607,0,26,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0
555165,90042,For profit - Corporation,02/13/1984,3,0.40615,3.73932,0,36,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,59,0
315047,08077,For profit - Limited Liability company,07/01/1970,2,0.37222,2.67489,276916,50,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,24,0
345423,27893,For profit - Limited Liability company,05/07/1992,3,0.7696,3.68787,0,28,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,19,0
365809,45885,For profit - Corporation,10/05/1990,2,0.85577,3.30043,0,30,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,28,0
555533,94541,For profit - Corporation,12/11/1992,4,0.84307,3.89603,12500,28,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,15,1
015375,36207,Non profit - Other,01/20/1981,4,0.54126,3.58817,0,40,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,6,0
365717,43016,For profit - Corporation,12/16/1988,3,0.71942,3.33197,0,32,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,38,0
395865,19144,For profit - Corporation,10/08/1991,2,0.49512,3.42598,0,29,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,31,1
335284,11803,For profit - Corporation,03/31/1969,4,0.47862,3.09504,0,51,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,14,0
335069,14487,For profit - Individual,05/16/1968,4,0.516,3.60397,11405,52,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,14,2
355036,58631,Non profit - Corporation,04/01/1978,4,0.71971,4.35091,0,42,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,13,0
305074,03109,Non profit - Corporation,03/15/1996,5,0.54082,4.06806,0,24,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,2,0
365893,44017,For profit - Corporation,11/20/1992,5,0.42717,2.91947,0,28,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,13,0
525657,53949,Non profit - Corporation,07/31/2000,3,0.69769,3.52479,0,20,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,22,0
